,product_name,link, product_images,price,details,color,brand
50,T-SHIRT WITH EMBROIDERED SLOGAN,https://www.zara.com/in/en/t-shirt-with-embroidered-slogan-p06224385.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6224/385/802/2/w/448/6224385802_1_1_1.jpg?ts=1692617071638': 'Image 0 of T-SHIRT WITH EMBROIDERED SLOGAN from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6224/385/802/2/w/448/6224385802_2_1_1.jpg?ts=1692617071742': 'Image 1 of T-SHIRT WITH EMBROIDERED SLOGAN from Zara'}]",2590,Loose-fitting T-shirt with a round neckline and short sleeves. Embroidered contrast slogan on the front.,white,puma
51,T-SHIRT WITH EMBROIDERED SLOGAN,https://www.zara.com/in/en/t-shirt-with-embroidered-slogan-p03992331.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/331/250/2/w/448/3992331250_1_1_1.jpg?ts=1691483159578': 'Image 0 of T-SHIRT WITH EMBROIDERED SLOGAN from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/331/250/2/w/448/3992331250_2_1_1.jpg?ts=1691483158315': 'Image 1 of T-SHIRT WITH EMBROIDERED SLOGAN from Zara'}]",2590,Wide T-shirt with a round neck and short sleeves. Featuring front matching hemstitch and embroidered slogan. Asymmetric hem with side vents.,white,nike
52,T-SHIRT WITH CALLIGRAPHY PRINT,https://www.zara.com/in/en/t-shirt-with-calligraphy-print-p06224396.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/396/251/2/w/448/6224396251_1_1_1.jpg?ts=1692951288217': 'Image 0 of T-SHIRT WITH CALLIGRAPHY PRINT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/396/251/2/w/448/6224396251_2_1_1.jpg?ts=1692951287876': 'Image 1 of T-SHIRT WITH CALLIGRAPHY PRINT from Zara'}]",2290,Loose-fitting round neck T-shirt with short sleeves. Contrast prints on the front and back. Contrast topstitched trims.,white,adidas
54,SWEATSHIRT WITH CONTRAST TRIMS,https://www.zara.com/in/en/sweatshirt-with-contrast-trims-p00761309.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0761/309/251/2/w/448/0761309251_1_1_1.jpg?ts=1685432803292': 'Image 0 of SWEATSHIRT WITH CONTRAST TRIMS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0761/309/251/2/w/448/0761309251_2_1_1.jpg?ts=1685432803022': 'Image 1 of SWEATSHIRT WITH CONTRAST TRIMS from Zara'}]",3290,Loose-fitting sweatshirt with a round neck and short sleeves. Contrast piping details on the front and back. Ribbed trims.,white,zara
82,SWEATSHIRT WITH CONTRAST TOPSTITCHING,https://www.zara.com/in/en/sweatshirt-with-contrast-topstitching-p02795317.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2795/317/712/2/w/448/2795317712_1_1_1.jpg?ts=1692780185502': 'Image 0 of SWEATSHIRT WITH CONTRAST TOPSTITCHING from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2795/317/712/2/w/448/2795317712_2_1_1.jpg?ts=1692780185003': 'Image 1 of SWEATSHIRT WITH CONTRAST TOPSTITCHING from Zara'}]",2990,Loose-fitting sweatshirt with a round neck and short sleeves. Featuring contrast topstitching all over the garment.,white,nike
103,MUSCLE FIT RIBBED T-SHIRT,https://www.zara.com/in/en/muscle-fit-ribbed-t-shirt-p00977307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0977/307/251/2/w/448/0977307251_1_1_1.jpg?ts=1686139354108': 'Image 0 of MUSCLE FIT RIBBED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0977/307/251/2/w/448/0977307251_2_1_1.jpg?ts=1686139354027': 'Image 1 of MUSCLE FIT RIBBED T-SHIRT from Zara'}]",2290,Slim fit T-shirt with a round neck and fitted short sleeves.,white,nike
107,RIBBED TANK TOP,https://www.zara.com/in/en/ribbed-tank-top-p00679340.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0679/340/802/2/w/448/0679340802_6_1_1.jpg?ts=1688110917540': 'Image 0 of RIBBED TANK TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0679/340/802/2/w/448/0679340802_6_2_1.jpg?ts=1688110916735': 'Image 1 of RIBBED TANK TOP from Zara'}]",1590,Sleeveless top with a wide round neckline.,grey,adidas
112,GRAFFITI PRINT T-SHIRT,https://www.zara.com/in/en/graffiti-print-t-shirt-p06224387.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/387/611/2/w/448/6224387611_1_1_1.jpg?ts=1692181731674': 'Image 0 of GRAFFITI PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/387/611/2/w/448/6224387611_2_1_1.jpg?ts=1692181732307': 'Image 1 of GRAFFITI PRINT T-SHIRT from Zara'}]",2290,T-shirt with a round neckline and short sleeves. Featuring a contrast prints on the front.,pink,zara
113,CONTRAST PRINTED T-SHIRT,https://www.zara.com/in/en/contrast-printed-t-shirt-p00962341.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0962/341/310/2/w/448/0962341310_1_1_1.jpg?ts=1692179833501': 'Image 0 of CONTRAST PRINTED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0962/341/310/2/w/448/0962341310_2_1_1.jpg?ts=1692179833804': 'Image 1 of CONTRAST PRINTED T-SHIRT from Zara'}]",2290,T-shirt with a round neck and short sleeves. Contrast prints on the front and back. Faded effect and ripped details all over the garment.,yellow,puma
117,SKULL PRINT T-SHIRT,https://www.zara.com/in/en/skull-print-t-shirt-p06224377.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/377/044/2/w/448/6224377044_1_1_1.jpg?ts=1688718276127': 'Image 0 of SKULL PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/377/044/2/w/448/6224377044_2_1_1.jpg?ts=1688718275658': 'Image 1 of SKULL PRINT T-SHIRT from Zara'}]",2290,Oversize round neck sleeveless T-shirt. Contrast print on the front and back.,blue,nike
