,product_name,link, product_images,price,details,color,brand
22,EYELASH CURLER,https://www.zara.com/in/en/eyelash-curler-p24550511.html,"[{'https://static.zara.net/photos///2022/I/2/1/p/4550/511/800/2/w/448/4550511800_6_1_1.jpg?ts=1659955085289': 'Image 0 of EYELASH CURLER from Zara'}, {'https://static.zara.net/photos///2022/I/2/1/p/4550/511/800/2/w/448/4550511800_6_2_1.jpg?ts=1659522818000': 'Image 1 of EYELASH CURLER from Zara'}]",890,Allows the eyelashes to be curled and raised in a single movement. Get a more intense finish by applying mascara. Includes two replacement pads.,black,nike
33,FACE BRUSH #3,https://www.zara.com/in/en/face-brush--3-p24140503.html,[{'https://static.zara.net/photos///2022/I/2/1/p/4140/503/250/2/w/448/4140503250_6_1_1.jpg?ts=1661418123738': 'Image 0 of FACE BRUSH #3 from Zara'}],950,"Small face brush for the application of powder, cream or liquids in more localised areas. Rounded and precise shape. Ideal for applying highlighter or as a blending brush.",white,adidas
36,KABUKI BRUSH,https://www.zara.com/in/en/kabuki-brush-p24140509.html,[{'https://static.zara.net/photos///2022/V/2/1/p/4140/509/250/2/w/448/4140509250_6_1_1.jpg?ts=1647362350884': 'Image 0 of KABUKI BRUSH from Zara'}],1290,"Short and smooth dense-bristle brush, ideal for applying foundation and providing optimum coverage immediately.",white,puma
40,EYE BRUSH #2,https://www.zara.com/in/en/eye-brush--2-p24140505.html,[{'https://static.zara.net/photos///2022/I/2/1/p/4140/505/250/2/w/448/4140505250_6_1_1.jpg?ts=1661418125427': 'Image 0 of EYE BRUSH #2 from Zara'}],590,Compact and flat eye brush specially designed to apply eye shadow evenly.,white,zara
41,EYE BRUSH #1,https://www.zara.com/in/en/eye-brush--1-p24140504.html,[{'https://static.zara.net/photos///2022/I/2/1/p/4140/504/250/2/w/448/4140504250_6_1_1.jpg?ts=1661418125014': 'Image 0 of EYE BRUSH #1 from Zara'}],590,"Small eye brush designed to blend or apply eye shadow in a precise way, achieving an intense finish and high pigment.",white,nike
42,MAKEUP SPONGE,https://www.zara.com/in/en/makeup-sponge-p24140500.html,[{'https://static.zara.net/photos///2023/V/2/1/p/4140/500/357/2/w/448/4140500357_6_1_1.jpg?ts=1686222829398': 'Image 0 of MAKEUP SPONGE from Zara'}],490,"Makeup sponge specially designed for liquid and cream formulas. Allows for a simple, precise and adjustable application, achieving a natural finish. INSTRUCTIONS FOR USE:1. Moisten sponge with water2. Drain excess water3. Use the rounded part to apply liquid or cream formulas, blotting onto the skin.4. Use the flat part and tip for a more precise application5. After use, wash sponge with soap and water, drain to remove excess water and air dryView more",yellow,adidas
